ip,bytes_sent,bytes_recv,bytes_total
142.251.32.67,218779,18202,236981
fe80::9074:82ff:fedf:648c,83732,0,83732
184.150.70.89,10924,2484,13408
17.248.231.128,6215,5931,12146
23.223.17.208,220862,5705,226567
192.168.2.76,35711,0,35711
224.0.0.1,0,11024,11024
224.0.0.2,0,414,414
3.161.213.16,60209,14403,74612
34.36.137.203,674748,427152,1101900
99.84.234.22,92548,5612,98160
